n	i	Nsites	phi
60	19	17	0.0770218228498074
101	27	1	0.0505505505505505
101	25	1	0.0531578947368421
101	16	1	0.0742647058823529
101	19	1	0.0648267008985879
101	17	1	0.0707282913165266
73	35	3	0.0548872180451128
73	33	2	0.0553030303030303
73	21	3	0.0668498168498168
73	26	3	0.0597381342062193
73	17	1	0.0766806722689076
73	22	1	0.0650623885918004
73	18	2	0.0737373737373737
73	30	5	0.0565891472868217
73	16	4	0.0800438596491228
73	23	1	0.0634782608695652
73	13	1	0.0935897435897436
73	29	3	0.0572100313479624
73	25	1	0.0608333333333333
73	27	2	0.0587761674718196
73	28	1	0.0579365079365079
73	36	2	0.0548048048048048
73	9	4	0.126736111111111
73	12	2	0.0997267759562842
73	15	2	0.0839080459770115
73	20	2	0.0688679245283019
73	14	5	0.0883777239709443
73	8	5	0.140384615384615
73	34	3	0.055052790346908
73	24	2	0.0620748299319728
73	19	2	0.0711500974658869
73	10	3	0.115873015873016
73	31	2	0.0560675883256528
76	11	1	0.106293706293706
76	32	5	0.0539772727272727
76	33	2	0.0535588442565187
76	21	2	0.0658008658008658
76	26	3	0.0584615384615385
76	17	3	0.0757726819541376
76	22	2	0.063973063973064
76	18	3	0.0727969348659004
76	30	1	0.0550724637681159
76	23	2	0.0623461853978671
76	29	4	0.0557593543653705
76	25	2	0.0596078431372549
76	27	1	0.0574452003023432
76	12	3	0.0989583333333333
76	15	3	0.0830601092896175
76	14	2	0.0875576036866359
76	20	3	0.0678571428571429
76	8	6	0.139705882352941
76	34	4	0.0532212885154062
76	37	1	0.0526680526680527
76	24	1	0.0608974358974359
76	19	2	0.0701754385964912
76	31	1	0.0544802867383513
86	35	1	0.0481792717086835
86	32	1	0.0497685185185185
86	33	2	0.0491709548313322
86	26	1	0.0551282051282051
86	17	1	0.0733162830349531
86	22	1	0.0610795454545455
86	18	1	0.0702614379084967
86	13	2	0.0906217070600632
86	23	2	0.0593512767425811
86	29	1	0.0520266182698125
86	25	3	0.0563934426229508
86	36	2	0.0477777777777778
86	40	1	0.0467391304347826
86	12	1	0.0968468468468468
86	41	1	0.0466124661246612
86	15	2	0.0807511737089202
86	14	1	0.0853174603174603
86	37	1	0.0474351902923331
86	19	1	0.0675569520816968
62	11	15	0.110516934046346
62	21	15	0.0720092915214866
62	7	16	0.161038961038961
62	26	6	0.0662393162393162
62	17	12	0.0810457516339869
62	22	11	0.0704545454545455
62	18	7	0.0782828282828283
62	30	13	0.0645833333333333
62	13	14	0.097331240188383
62	16	11	0.0842391304347826
62	23	11	0.0691192865105908
62	29	10	0.06478578892372
62	27	13	0.0656084656084656
62	25	11	0.067027027027027
62	28	17	0.0651260504201681
62	9	11	0.129979035639413
62	12	12	0.103333333333333
62	15	7	0.0879432624113475
62	20	16	0.0738095238095238
62	14	16	0.0922619047619048
62	8	15	0.143518518518519
62	24	13	0.0679824561403509
62	19	9	0.0758873929008568
62	10	4	0.119230769230769
62	31	3	0.032258064516129
67	11	3	0.108766233766234
67	32	8	0.0598214285714286
67	33	1	0.0597147950089127
67	21	1	0.0693581780538302
67	7	7	0.15952380952381
67	26	5	0.0628517823639775
67	17	6	0.0788235294117647
67	22	5	0.0676767676767677
67	18	9	0.0759637188208617
67	30	7	0.0603603603603604
67	13	4	0.0954415954415954
67	16	5	0.0821078431372549
67	23	9	0.066205533596838
67	29	3	0.0607985480943739
67	25	3	0.0638095238095238
67	27	2	0.062037037037037
67	28	6	0.0613553113553114
67	9	4	0.128352490421456
67	12	4	0.101515151515152
67	14	4	0.0902964959568733
67	20	5	0.0712765957446809
67	15	12	0.0858974358974359
67	8	6	0.141949152542373
67	24	4	0.064922480620155
67	19	5	0.0734649122807017
67	10	7	0.117543859649123
67	31	6	0.0600358422939068
129	28	1	0.0456152758132956
82	35	1	0.0498480243161094
82	32	2	0.05125
82	33	2	0.0507111935683364
82	21	1	0.0640124902419984
82	17	1	0.0742081447963801
82	30	1	0.0525641025641026
82	13	1	0.0914158305462653
82	16	2	0.0776515151515152
82	29	1	0.0533506831489915
82	27	1	0.0552188552188552
82	28	1	0.0542328042328042
82	40	1	0.0488095238095238
82	15	1	0.081592039800995
82	20	1	0.0661290322580645
82	34	2	0.0502450980392157
82	24	1	0.0589080459770115
82	10	4	0.113888888888889
82	31	2	0.0518659076533839
110	49	1	0.0368016058882569
147	41	1	0.03382420616659
112	28	1	0.0476190476190476
112	36	1	0.0409356725146199
112	45	1	0.0371475953565506
112	29	1	0.046530951391774
69	32	3	0.058277027027027
